@RELATION hddperf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
30,11,19,439
40,11,19,369
45,11,19,407
50,11,19,394
55,11,19,409
60,11,19,257
70,11,19,365
80,11,19,360
90,11,19,362
100,11,19,382
10,16,19,287
20,16,19,320
30,16,19,424
40,16,19,425
45,16,19,422
50,16,19,252
55,16,19,230
60,16,19,142
70,16,19,352
80,16,19,341
90,16,19,352
100,16,19,352
10,5,20,459
20,5,20,475
30,5,20,485
40,5,20,468
45,5,20,504
50,5,20,483
55,5,20,477
60,5,20,458
70,5,20,399
80,5,20,408
90,5,20,412
100,5,20,383
10,20,20,449
20,20,20,455
30,20,20,435
40,20,20,451
45,20,20,418
50,20,20,366
55,20,20,360
60,20,20,235
70,20,20,354
80,20,20,339
90,20,20,336
100,20,20,328
10,30,20,442
20,30,20,427
30,30,20,357
40,30,20,399
45,30,20,300
50,30,20,381
55,30,20,374
60,30,20,395
70,30,20,346
80,30,20,343
90,30,20,316
100,30,20,303
10,9,21,312
20,9,21,402
30,9,21,418
40,9,21,415
45,9,21,426
50,9,21,413
55,9,21,348
60,9,21,366
70,9,21,362
80,9,21,364
90,9,21,382
100,9,21,379
10,14,21,268
20,14,21,239
30,14,21,420
40,14,21,430
45,14,21,402
50,14,21,265
55,14,21,249
60,14,21,186
70,14,21,355
80,14,21,338
90,14,21,346
100,14,21,364
10,3,22,482
20,3,22,498
30,3,22,494
40,3,22,537
45,3,22,527
50,3,22,520
55,3,22,483
60,3,22,518
70,3,22,432
80,3,22,413
90,3,22,414
100,3,22,406
10,13,22,290
20,13,22,278
30,13,22,421
40,13,22,430
45,13,22,414
50,13,22,270
55,13,22,263
60,13,22,193
70,13,22,347
80,13,22,334
90,13,22,348
100,13,22,381
10,18,22,438
20,18,22,447
30,18,22,431
40,18,22,445
45,18,22,422
50,18,22,308
55,18,22,286
60,18,22,211
70,18,22,358
80,18,22,353
90,18,22,337
100,18,22,344
10,23,22,437
20,23,22,423
30,23,22,392
40,23,22,414
45,23,22,390
50,23,22,393
55,23,22,395
60,23,22,410
70,23,22,372
80,23,22,320
90,23,22,343
100,23,22,327
10,6,24,423
20,6,24,439
30,6,24,459
40,6,24,454
45,6,24,464
50,6,24,449
55,6,24,438
60,6,24,412
70,6,24,383
80,6,24,378
