@RELATION st1perf

@ATTRIBUTE writepct NUMERIC
@ATTRIBUTE leaders NUMERIC
@ATTRIBUTE followers NUMERIC
@ATTRIBUTE iops NUMERIC

@DATA
10,18,27,578
20,18,27,596
30,18,27,598
40,18,27,592
45,18,27,586
50,18,27,587
55,18,27,590
60,18,27,586
70,18,27,579
80,18,27,571
90,18,27,566
100,18,27,560
10,23,27,546
20,23,27,570
30,23,27,557
40,23,27,564
45,23,27,557
50,23,27,565
55,23,27,570
60,23,27,568
70,23,27,564
80,23,27,562
90,23,27,558
100,23,27,558
10,7,28,775
20,7,28,751
30,7,28,726
40,7,28,695
45,7,28,647
50,7,28,640
55,7,28,669
60,7,28,652
70,7,28,628
80,7,28,574
90,7,28,554
100,7,28,533
10,12,28,685
20,12,28,669
30,12,28,660
40,12,28,640
45,12,28,631
50,12,28,587
55,12,28,622
60,12,28,615
70,12,28,601
80,12,28,589
90,12,28,575
100,12,28,562
10,16,29,629
20,16,29,635
30,16,29,609
40,16,29,604
45,16,29,608
50,16,29,607
55,16,29,602
60,16,29,598
70,16,29,587
80,16,29,577
90,16,29,569
100,16,29,560
10,20,30,577
20,20,30,590
30,20,30,584
40,20,30,588
45,20,30,575
50,20,30,587
55,20,30,586
60,20,30,580
70,20,30,576
80,20,30,568
90,20,30,563
100,20,30,557
10,4,31,910
20,4,31,861
30,4,31,816
40,4,31,779
45,4,31,721
50,4,31,704
55,4,31,723
60,4,31,698
70,4,31,668
80,4,31,600
90,4,31,565
100,4,31,535
10,14,31,652
20,14,31,653
30,14,31,639
40,14,31,624
45,14,31,621
50,14,31,621
55,14,31,616
60,14,31,609
70,14,31,594
80,14,31,585
90,14,31,572
100,14,31,560
10,8,32,763
20,8,32,731
30,8,32,709
40,8,32,683
45,8,32,677
50,8,32,667
55,8,32,659
60,8,32,644
70,8,32,622
80,8,32,603
90,8,32,580
100,8,32,562
10,18,32,639
20,18,32,628
30,18,32,603
40,18,32,609
45,18,32,600
50,18,32,596
55,18,32,598
60,18,32,593
70,18,32,583
80,18,32,574
90,18,32,566
100,18,32,558
10,15,35,666
20,15,35,653
30,15,35,643
40,15,35,625
45,15,35,618
50,15,35,620
55,15,35,614
60,15,35,609
70,15,35,593
80,15,35,582
90,15,35,569
100,15,35,558
10,4,36,938
20,4,36,866
30,4,36,823
40,4,36,778
45,4,36,760
50,4,36,745
55,4,36,718
60,4,36,706
70,4,36,667
80,4,36,632
90,4,36,595
100,4,36,563
10,9,36,751
20,9,36,728
30,9,36,698
40,9,36,683
45,9,36,669
50,9,36,662
55,9,36,652
60,9,36,639
70,9,36,617
80,9,36,596
90,9,36,577
100,9,36,558
10,5,40,865
20,5,40,821
30,5,40,784
40,5,40,740
45,5,40,731
50,5,40,706
55,5,40,702
60,5,40,682
70,5,40,654
80,5,40,620
90,5,40,592
100,5,40,560
10,10,40,741
20,10,40,716
30,10,40,690
40,10,40,671
45,10,40,661
50,10,40,653
55,10,40,644
60,10,40,632
70,10,40,612
80,10,40,593
90,10,40,575
100,10,40,556
10,5,45,863
20,5,45,811
30,5,45,785
40,5,45,749
45,5,45,729
50,5,45,713
55,5,45,699
60,5,45,682
70,5,45,651
80,5,45,619
90,5,45,589
100,5,45,557
